year,forest_remaining,deforested_this_year,cumulative_deforested,percent_forest_remaining,percent_forest_lost
2000,197688,0,0,100.0,0.0
2001,197585,103,103,99.95,0.05
2002,197550,35,138,99.93,0.07
2003,197545,5,143,99.93,0.07
2004,197532,13,156,99.92,0.08
2005,197527,5,161,99.92,0.08
2006,197523,4,165,99.92,0.08
2008,197490,33,198,99.9,0.1
2009,197477,13,211,99.89,0.11
2010,197474,3,214,99.89,0.11
2011,197472,2,216,99.89,0.11
2012,197470,2,218,99.89,0.11
2013,197454,16,234,99.88,0.12
2014,197429,25,259,99.87,0.13
2015,197409,20,279,99.86,0.14
2016,197389,20,299,99.85,0.15
2017,197384,5,304,99.85,0.15
2018,197347,37,341,99.83,0.17
2019,197345,2,343,99.83,0.17
2020,197340,5,348,99.82,0.18
2021,197316,24,372,99.81,0.19
2022,197302,14,386,99.8,0.2
2023,197287,15,401,99.8,0.2
