ageBracket,sex,count,percentage,yearName
0-4,female,52553.55,3.9834863,2021
0-4,male,56149.46,4.2560514,2021
10-14,female,53631.29,4.065178,2021
10-14,male,56959.22,4.3174304,2021
15-19,female,55799.87,4.229553,2021
15-19,male,58415.47,4.4278118,2021
20-24,female,54857.68,4.1581366,2021
20-24,male,54082.97,4.0994145,2021
25-29,female,55018.6,4.170334,2021
25-29,male,52944.24,4.0131007,2021
30-34,female,53949.77,4.0893183,2021
30-34,male,51778.97,3.9247747,2021
35-39,female,50608.6,3.8360623,2021
35-39,male,48462.58,3.6733971,2021
40-44,female,44181.22,3.3488755,2021
40-44,male,42640.57,3.2320966,2021
45-49,female,38524.77,2.9201243,2021
45-49,male,36896.71,2.7967196,2021
5-9,female,50745.11,3.8464092,2021
5-9,male,53372.87,4.04559,2021
50-54,female,37384.5,2.8336933,2021
50-54,male,36989.84,2.8037786,2021
55-59,female,33442.03,2.5348596,2021
55-59,male,32211.35,2.4415756,2021
60-64,female,25998.11,1.970621,2021
60-64,male,24910.21,1.8881593,2021
65-69,female,21377.1,1.6203549,2021
65-69,male,19892.86,1.5078513,2021
70-74,female,14836.43,1.1245811,2021
70-74,male,13195.18,1.0001761,2021
75-79,female,9082.98,0.6884777,2021
75-79,male,7922.93,0.6005469,2021
80+,female,11604.19,0.8795818,2021
80+,male,8863.99,0.6718785,2021
