age_group,sex,population
1-4,f,42167.329277575016
1-4,m,45029.74103099108
0-1,f,10386.217326685786
0-1,m,11119.716252744198
5-9,f,50745.108513236046
5-9,m,53372.87088787556
10-14,f,53631.2924823761
10-14,m,56959.22121369839
15-19,f,55799.86878108978
15-19,m,58415.46727514267
20-24,f,54857.68279469013
20-24,m,54082.96991229057
25-29,f,55018.60121357441
25-29,m,52944.24471843243
30-34,f,53949.772616147995
30-34,m,51778.97365939617
35-39,f,50608.60339975357
35-39,m,48462.58497297764
40-44,f,44181.21978956461
40-44,m,42640.57259321213
45-49,f,38524.76904672384
45-49,m,36896.7089933157
50-54,f,37384.49711072445
50-54,m,36989.83762103319
55-59,f,33442.028745651245
55-59,m,32211.34570914507
60-64,f,25998.112475156784
60-64,m,24910.20679193735
65-69,f,21377.103098869324
65-69,m,19892.859662503004
70-74,f,14836.431812852621
70-74,m,13195.17533287406
75-79,f,9082.984520941973
75-79,m,7922.926460832357
80+,f,11604.193391352892
80+,m,8863.993827521801
