,0
0,331.9
1,48.3
2,243.2
3,144.2
4,62.3
5,241.3
6,346.2
7,153.6
8,285.6
9,143.0
10,71.9
11,333.6
12,97.2
13,315.6
14,191.8
15,218.8
16,189.5
17,279.9
18,197.1
19,203.7
20,283.3
21,224.7
22,293.5
23,212.5
24,213.3
25,301.9
26,212.3
27,121.3
28,61.0
29,121.7
30,43.0
31,301.2
32,246.0
33,247.4
34,15.4
35,259.4
36,117.2
37,245.9
38,116.6
39,303.7
40,122.6
41,110.1
42,121.2
43,210.5
44,249.9
45,349.9
46,146.9
47,236.1
48,144.8
49,324.1
50,233.4
51,233.1
52,50.3
53,321.7
54,34.1
55,33.3
56,301.9
57,211.9
58,304.3
59,122.4
60,21.7
61,211.4
62,155.1
63,188.4
64,233.4
65,322.9
66,50.7
67,116.0
68,25.1
69,74.2
70,24.6
71,134.5
72,342.6
73,73.0
74,343.8
75,169.1
76,12.4
77,29.1
78,349.5
79,260.2
80,193.0
81,69.2
82,114.9
83,13.2
84,204.3
85,46.4
86,350.2
87,193.2
88,48.7
89,226.4
90,136.3
91,359.2
92,260.2
93,350.4
94,113.5
95,283.9
96,326.9
97,253.8
98,3.6
99,182.0
100,93.2
101,272.5
102,92.8
103,182.8
104,3.8
105,349.2
106,169.2
107,169.2
108,349.8
109,269.2
110,347.5
111,89.2
112,253.3
113,193.6
114,331.2
115,284.7
116,14.2
117,130.0
118,194.5
119,260.7
120,14.5
121,183.9
122,274.4
123,92.5
124,82.0
125,163.4
126,304.5
127,6.9
128,207.1
129,273.2
130,155.3
131,334.8
132,95.7
133,92.7
134,158.6
135,272.8
136,357.4
137,196.2
138,353.1
139,117.8
140,260.4
141,271.7
142,93.6
143,181.9
144,1.7
145,271.1
146,99.3
147,276.0
148,94.4
149,3.5
150,8.6
151,179.9
152,92.7
153,274.2
154,291.1
155,123.2
156,306.3
157,39.0
158,194.1
159,2.4
160,294.8
161,183.9
162,22.4
163,277.5
164,4.9
165,318.8
166,343.9
167,5.4
168,280.7
169,13.6
170,193.5
171,12.9
172,280.6
173,204.1
174,100.6
175,9.4
176,280.7
177,100.6
178,289.0
179,197.6
180,10.6
181,13.9
182,199.8
183,276.0
184,31.9
185,121.5
186,306.2
187,50.4
188,323.1
189,80.7
190,151.0
191,111.9
192,52.1
193,252.6
194,10.8
195,41.9
196,131.7
197,130.6
198,219.7
199,134.7
200,4.9
201,54.0
202,162.3
203,162.7
204,59.9
205,149.7
206,59.9
207,102.8
208,274.3
209,68.5
210,132.5
211,317.3
212,314.3
213,38.8
214,120.8
215,207.6
216,100.0
217,254.2
218,118.8
219,28.1
220,207.8
221,118.8
222,298.8
223,28.4
224,119.6
225,299.6
226,207.9
227,163.4
228,73.0
229,343.4
230,94.1
231,183.5
232,253.5
233,321.7
234,136.7
235,118.8
236,208.5
237,27.8
238,298.8
239,126.0
240,298.3
241,212.4
242,27.2
243,280.8
244,192.9
245,100.8
246,177.4
247,104.0
248,281.9
249,142.6
250,334.2
251,227.1
252,55.0
253,345.4
254,261.1
255,82.0
256,0.2
257,262.0
258,87.7
259,139.9
260,249.7
261,330.7
262,316.6
263,138.8
264,49.4
265,334.6
266,146.7
267,244.3
268,53.3
269,130.5
270,318.8
271,50.8
272,53.9
273,150.1
274,344.2
275,113.5
276,330.1
277,62.5
278,127.7
279,277.1
280,299.5
281,223.0
282,43.5
283,225.0
284,47.1
285,138.7
286,307.4
287,134.3
288,201.7
289,9.2
290,239.3
291,319.7
292,48.2
293,330.6
294,69.3
295,228.2
296,202.2
297,139.7
298,316.4
299,229.4
300,48.0
301,272.1
302,297.7
303,201.7
304,21.7
305,131.6
306,230.1
307,137.6
308,218.6
309,51.7
310,53.2
311,143.7
312,53.1
313,83.3
314,43.7
315,230.3
316,138.6
317,310.0
318,220.7
319,130.7
320,220.4
321,39.9
322,130.7
323,45.0
324,136.8
325,229.3
326,45.6
327,136.9
328,26.4
329,310.0
330,201.6
331,53.4
332,143.2
333,220.6
334,40.2
335,130.7
336,259.1
337,181.6
338,151.9
339,79.1
340,236.2
341,44.6
342,56.2
343,313.4
344,223.9
345,41.1
346,314.3
347,223.8
348,40.6
349,313.5
350,41.8
351,223.7
352,315.1
353,290.0
354,14.7
355,14.9
356,107.2
357,284.1
358,205.7
359,127.7
360,220.7
361,273.2
362,177.9
363,172.5
364,85.3
365,263.7
366,173.3
367,173.4
368,235.0
369,227.8
370,354.1
371,83.8
372,258.3
373,353.8
374,352.7
375,84.9
376,355.5
377,268.2
378,348.4
379,268.0
380,194.2
381,180.1
382,235.3
383,271.8
384,21.8
385,271.2
386,14.7
387,2.0
388,234.2
389,171.9
390,272.2
391,86.0
392,0.4
393,100.4
394,163.2
395,7.0
396,95.0
397,28.1
398,87.9
399,176.5
400,182.9
401,87.0
402,108.8
403,22.0
404,205.1
405,115.8
406,40.5
407,6.5
408,184.1
409,264.6
410,347.8
411,253.4
412,254.4
413,83.8
414,171.8
415,182.0
416,84.6
417,85.9
418,3.5
419,173.6
420,82.9
421,342.2
422,350.3
423,169.4
424,77.6
425,5.7
426,242.8
427,191.4
428,85.9
429,85.1
430,350.3
431,268.4
432,89.0
433,258.0
434,236.6
435,195.0
436,288.5
437,6.3
438,211.9
439,31.9
440,302.0
441,121.3
442,31.6
443,121.6
444,301.5
445,211.6
446,122.5
447,301.3
448,31.7
449,211.7
450,302.4
451,122.6
452,211.1
453,121.3
454,302.6
455,121.9
456,211.4
457,31.1
458,302.5
