year,cumulative sq km
1985,39.82028204180047
1986,40.88693615862631
1987,42.205242943743016
1988,42.62378106574256
1989,43.58182718888498
1990,44.81713274305663
1991,46.23521760367112
1992,46.792385441185274
1993,47.92526394440345
1994,48.49744264283321
1995,48.797659861145114
1996,52.074442499837744
1997,54.26426220987755
1998,55.723847685964564
1999,56.70485159638965
2000,57.58696042313552
2001,58.39224896166629
2002,58.98032151283021
2003,59.66199119676195
2004,60.4628647761999
2005,61.18338610014848
2006,62.17321992875922
2007,63.36349290018408
2008,65.34669252467981
2009,67.20450731093939
2010,69.17004709906384
2011,70.79916700431522
2012,71.98237604119157
2013,73.42695065636299
2014,74.67991604690593
2015,75.42781011723001
