year,coastal_2020,comb_2020,fluvial_2020,pluvial_2020
1985,0.802255497,20.59210698,4.299877645,16.62319283
1986,0.856974793,21.35023401,4.404903392,17.26658585
1987,0.887864719,22.03422522,4.447266719,17.8976229
1988,0.892277566,22.36342357,4.524050248,18.16151112
1989,0.919637214,22.92473765,4.593773223,18.65928021
1990,0.930228046,23.99441165,4.877077969,19.52331556
1991,0.982299634,25.36857205,5.226575413,20.60358038
1992,0.994655605,25.80367872,5.298063527,20.98132004
1993,1.055552887,26.55033235,5.353665393,21.67237181
1994,1.075851981,26.92718944,5.392498442,22.01127842
1995,1.080264827,27.12488496,5.413680106,22.18867485
1996,1.129688708,29.24746414,5.64932611,24.11532364
1997,1.161461203,30.91198984,5.925570302,25.56891528
1998,1.17734745,32.11581437,6.096788746,26.63858928
1999,1.188820851,33.07781491,6.290953993,27.42142825
2000,1.205589668,34.01951636,6.443638483,28.23339201
2001,1.2161805,34.78205624,6.554842215,28.90855753
2002,1.221475916,35.39632447,6.643099145,29.45310279
2003,1.232949317,36.00706243,6.708409274,30.00735631
2004,1.24177501,36.78372342,6.796666204,30.7063512
2005,1.253248411,37.56214954,6.960824094,31.34356623
2006,1.276195212,38.47913905,7.097622336,32.1581777
2007,1.295611737,39.45349556,7.252954534,32.98602771
2008,1.314145692,40.8294211,7.449767488,34.19073481
2009,1.359156727,42.19210811,7.597156562,35.41927128
2010,1.382103529,43.88928888,7.740132789,37.00260061
2011,1.405050331,45.23785477,7.962540253,38.17553521
2012,1.426231994,46.21662413,8.162883485,38.98838154
2013,1.444765949,47.42397894,8.391468935,40.02628304
2014,1.45623935,48.50071349,8.535327731,41.00681753
2015,1.464182474,49.08585694,8.622702092,41.5195903
