year,cumulative sq km
1985,45.518868338679596
1986,46.77537555428495
1987,48.211635555292474
1988,48.70948027956809
1989,49.69547717596528
1990,51.20927759420511
1991,53.060555055626466
1992,53.757537669612326
1993,54.97527467660153
1994,55.619388824292635
1995,55.96743956073311
1996,60.47447631236102
1997,63.55935132066001
1998,65.71726588659095
1999,66.966723973357
2000,68.28314878409641
2001,69.47357041683333
2002,70.43489536229296
2003,71.44380192741788
2004,72.74172277495413
2005,73.87222681255699
2006,75.28205258041713
2007,76.8469591827419
2008,79.12118437452129
2009,81.44827803259545
2010,83.97098501596021
2011,86.321869483867
2012,88.16433553423923
2013,90.21122632095118
2014,91.96029141420269
2015,93.07757833523185
