SID,NAME,year,month_start,month_start_name,month,BEGAN,USA_SSHS,min_distance,max_scale,text
1988285N09318,JOAN:MIRIAM,1988,10,October,10,1988-10-15,2,123.04505912245388,Category 2,"OCTOBER 1988
JOAN:MIRIAM - Category 2"
1993217N10320,BRET,1993,8,August,8,1993-08-15,0,32.00273482918776,Tropical storm,"AUGUST 1993
BRET - Tropical storm"
1996207N12297,CESAR,1996,7,July,7,1996-07-15,0,174.75064659224438,Tropical storm,"JULY 1996
CESAR - Tropical storm"
2020318N16289,IOTA,2020,11,November,11,2020-11-15,0,250.28625008166574,Tropical storm,"NOVEMBER 2020
IOTA - Tropical storm"
2022280N11294,JULIA,2022,10,October,10,2022-10-15,0,261.9714077314131,Tropical storm,"OCTOBER 2022
JULIA - Tropical storm"
1981255N12286,NOT_NAMED,1981,9,September,9,1981-09-15,-1,166.54665735031318,Tropical depression,"SEPTEMBER 1981
NOT_NAMED - Tropical depression"
1985342N11283,NOT_NAMED,1985,12,December,12,1985-12-15,-1,187.11778899722756,Tropical depression,"DECEMBER 1985
NOT_NAMED - Tropical depression"
1998295N12284,MITCH,1998,10,October,10,1998-10-15,-1,145.97691901460544,Tropical depression,"OCTOBER 1998
MITCH - Tropical depression"
1996319N11283,MARCO,1996,11,November,11,1996-11-15,-3,221.9995988347162,Tropical depression,"NOVEMBER 1996
MARCO - Tropical depression"
2022179N08310,BONNIE,2022,6,June,6-7,2022-06-15,-3,171.27142784409452,Tropical depression,"JUNE 2022
BONNIE - Tropical depression"
