month,max,min,mean
1,5.329999923706055,5.050000190734863,5.213701091665129
2,5.46999979019165,5.170000076293945,5.35023744479238
3,5.199999809265137,4.809999942779541,5.0325838107636525
4,4.71999979019165,4.199999809265137,4.486117325015575
5,4.159999847412109,3.799999952316284,3.9698324446571607
6,4.070000171661377,3.799999952316284,3.9197765552131822
7,4.21999979019165,3.9600000381469727,4.076689982880427
8,4.309999942779541,3.9600000381469727,4.10118717687756
9,4.289999961853027,3.9000000953674316,4.051983269566264
10,4.190000057220459,3.7899999618530273,3.9680307540813637
11,4.269999980926514,3.869999885559082,4.020251434941532
12,4.840000152587891,4.510000228881836,4.684608927652157
