Group,Indicator,Share
Benchmark,Consumer services,0.39864190305901337
Benchmark,Industry,0.21979510476824346
Benchmark,Public services,0.14721553798155934
Benchmark,Transport & ICT,0.09852971851566072
Benchmark,Financial & business services,0.07983210248337211
Benchmark,Agriculture,0.016219150644658203
Cartagena,Consumer services,0.4094375287273845
Cartagena,Industry,0.21467454827389357
Cartagena,Public services,0.14254623467309852
Cartagena,Transport & ICT,0.13675011125827766
Cartagena,Financial & business services,0.08810444953523242
Cartagena,Agriculture,0.008487127532113298
