Group,Location,Country,Year,"GDP, real, US$ - Total",Employment - Total,Total population,GDP
Cartagena,Cartagena,Colombia,2001,2691.971,338.6281,1012.694,2691971000
Cartagena,Cartagena,Colombia,2002,2765.349,333.4424,1025.077,2765349000
Cartagena,Cartagena,Colombia,2003,3106.797,341.5557,1036.816,3106797000
Cartagena,Cartagena,Colombia,2004,3202.677,339.4064,1048.314,3202677000
Cartagena,Cartagena,Colombia,2005,3422.935,362.0006,1059.62,3422935000
Cartagena,Cartagena,Colombia,2006,3754.097,370.3664,1074.557,3754097000
Cartagena,Cartagena,Colombia,2007,4148.034,395.9585,1088.791,4148033999.9999995
Cartagena,Cartagena,Colombia,2008,4289.691,376.7386,1102.244,4289691000
Cartagena,Cartagena,Colombia,2009,4285.529,401.419,1114.637,4285529000.0000005
Cartagena,Cartagena,Colombia,2010,4415.619,417.8033,1125.874,4415619000
Cartagena,Cartagena,Colombia,2011,4615.479,446.5449,1135.916,4615479000
Cartagena,Cartagena,Colombia,2012,4902.516,466.9456,1145.201,4902516000
Cartagena,Cartagena,Colombia,2013,5452.541,475.7934,1154.591,5452541000
Cartagena,Cartagena,Colombia,2014,5490.212,496.9039,1164.916,5490212000
Cartagena,Cartagena,Colombia,2015,5492.243,504.835,1176.843,5492243000
Cartagena,Cartagena,Colombia,2016,5521.301,500.4729,1191.289,5521301000
Cartagena,Cartagena,Colombia,2017,5521.775,491.3079,1207.904,5521775000
Cartagena,Cartagena,Colombia,2018,5504.124,497.2318,1223.368,5504124000
Cartagena,Cartagena,Colombia,2019,5722.388,506.7218,1238.787,5722388000
Cartagena,Cartagena,Colombia,2020,5026.086,444.4638,1254.128,5026086000
Cartagena,Cartagena,Colombia,2021,5651.096,475.4521,1259.382,5651096000
Benchmark,Barranquilla,Colombia,2001,5533.322,630.4178,1785.985,5533322000
Benchmark,Barranquilla,Colombia,2002,5723.628,620.04,1816.744,5723628000
Benchmark,Barranquilla,Colombia,2003,5765.644,623.5895,1847.013,5765644000
Benchmark,Barranquilla,Colombia,2004,6042.202,633.5532,1876.67,6042202000
Benchmark,Barranquilla,Colombia,2005,6462.128,642.4285,1905.452,6462128000
Benchmark,Barranquilla,Colombia,2006,7067.478,679.4194,1935.026,7067478000
Benchmark,Barranquilla,Colombia,2007,7468.841,706.7008,1963.886,7468841000
Benchmark,Barranquilla,Colombia,2008,7758.839,704.3148,1991.763,7758839000
Benchmark,Barranquilla,Colombia,2009,7802.896,747.3783,2018.252,7802896000
Benchmark,Barranquilla,Colombia,2010,7910.291,786.3732,2043.11,7910291000
Benchmark,Barranquilla,Colombia,2011,8148.08,824.5093,2065.994,8148080000
Benchmark,Barranquilla,Colombia,2012,8912.586,859.7956,2087.735,8912586000
Benchmark,Barranquilla,Colombia,2013,9243.249,873.1675,2110.069,9243249000
Benchmark,Barranquilla,Colombia,2014,9887.386,908.1453,2134.521,9887386000
Benchmark,Barranquilla,Colombia,2015,10627.46,968.5488,2162.854,10627460000
Benchmark,Barranquilla,Colombia,2016,10768.94,977.0358,2198.807,10768940000
Benchmark,Barranquilla,Colombia,2017,10951.9,988.0844,2242.203,10951900000
Benchmark,Barranquilla,Colombia,2018,11116.77,1004.77,2273.642,11116770000
Benchmark,Barranquilla,Colombia,2019,11465.15,1019.231,2303.748,11465150000
Benchmark,Barranquilla,Colombia,2020,10788.31,905.1576,2333.578,10788310000
Benchmark,Barranquilla,Colombia,2021,11766.68,961.0159,2345.111,11766680000
Benchmark,Bucaramanga,Colombia,2001,4559.604,399.8256,1009.962,4559604000
Benchmark,Bucaramanga,Colombia,2002,4850.176,399.1776,1018.436,4850176000
Benchmark,Bucaramanga,Colombia,2003,5325.837,422.1473,1026.124,5325837000
Benchmark,Bucaramanga,Colombia,2004,5652.169,416.5183,1033.268,5652169000
