Year,Households,Percent,sum,Location,Group,Band,Income Band,pct_sum
2002,74874.906,0.30110336483679956,248668.4466,Cartagena,Cartagena,Under $5K,NA,0.30110336483679956
2003,71111.8395,0.27989214028648296,254068.726,Cartagena,Cartagena,Under $5K,NA,0.27989214028648296
2004,71123.99040000001,0.2739768929897337,259598.4998,Cartagena,Cartagena,Under $5K,NA,0.2739768929897337
2005,68882.0941,0.2596219347824146,265316.9277,Cartagena,Cartagena,Under $5K,NA,0.2596219347824146
2006,68767.2735,0.2531961985485211,271596.78500000003,Cartagena,Cartagena,Under $5K,NA,0.2531961985485211
2007,63888.753,0.22963440478140207,278219.4291,Cartagena,Cartagena,Under $5K,NA,0.22963440478140207
2008,61637.9692,0.21619416832575522,285104.6801,Cartagena,Cartagena,Under $5K,NA,0.21619416832575522
2009,63077.4652,0.2158663999976151,292206.0367,Cartagena,Cartagena,Under $5K,NA,0.2158663999976151
2010,63536.3682,0.21213183961500884,299513.587,Cartagena,Cartagena,Under $5K,NA,0.21213183961500884
2011,60999.2043,0.1987735191932474,306877.92089999997,Cartagena,Cartagena,Under $5K,NA,0.1987735191932474
2012,57823.5732,0.18383002897418724,314549.1165,Cartagena,Cartagena,Under $5K,NA,0.18383002897418724
2013,50142.0396,0.15548074037493634,322496.7895,Cartagena,Cartagena,Under $5K,NA,0.15548074037493634
2014,48735.2282,0.14739224042108773,330649.8908,Cartagena,Cartagena,Under $5K,NA,0.14739224042108773
2015,49520.8252,0.14608724861133243,338981.1614,Cartagena,Cartagena,Under $5K,NA,0.14608724861133243
2016,52917.2635,0.15225472535200563,347557.4461,Cartagena,Cartagena,Under $5K,NA,0.15225472535200563
2017,52843.019,0.14835114746483175,356202.2937,Cartagena,Cartagena,Under $5K,NA,0.14835114746483175
2018,54557.5377,0.14988914076859114,363985.926,Cartagena,Cartagena,Under $5K,NA,0.14988914076859114
2019,53491.3387,0.1438939329740203,371741.4459,Cartagena,Cartagena,Under $5K,NA,0.1438939329740203
2020,86899.6092,0.2289974188717867,379478.5532,Cartagena,Cartagena,Under $5K,NA,0.2289974188717867
2021,69233.0337,0.17979725383532447,385061.686,Cartagena,Cartagena,Under $5K,NA,0.17979725383532447
2002,27517.800000000003,0.11066060200337458,248668.4466,Cartagena,Cartagena,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.41176396684017413
2003,27271.280000000002,0.10733820108186004,254068.726,Cartagena,Cartagena,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.387230341368343
2004,27665.28,0.10656949104603415,259598.4998,Cartagena,Cartagena,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.38054638403576785
2005,27414.26,0.1033264640807161,265316.9277,Cartagena,Cartagena,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.3629483988631307
2006,27346.83,0.10068907848080749,271596.78500000003,Cartagena,Cartagena,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.3538852770293286
2007,26967.199999999997,0.0969278101361757,278219.4291,Cartagena,Cartagena,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.32656221491757775
2008,27293.07,0.0957299964014165,285104.6801,Cartagena,Cartagena,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.3119241647271717
2009,28548.100000000002,0.09769852916936675,292206.0367,Cartagena,Cartagena,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.31356492916698187
2010,29045.26,0.09697476595611003,299513.587,Cartagena,Cartagena,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.30910660557111885
2011,29654.789999999997,0.09663383378325019,306877.92089999997,Cartagena,Cartagena,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.29540735297649756
2012,29643.850000000002,0.09424235658280732,314549.1165,Cartagena,Cartagena,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.27807238555699454
2013,28153.18,0.08729755122104867,322496.7895,Cartagena,Cartagena,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.24277829159598502
2014,28398.32,0.08588637344258879,330649.8908,Cartagena,Cartagena,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.23327861386367651
2015,29470.91,0.08693966909041335,338981.1614,Cartagena,Cartagena,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.23302691770174577
2016,31233.55,0.08986586347228888,347557.4461,Cartagena,Cartagena,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.2421205888242945
2017,31854.01,0.08942674026357625,356202.2937,Cartagena,Cartagena,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.237777887728408
2018,32847.369999999995,0.09024351672322627,363985.926,Cartagena,Cartagena,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.2401326574918174
