Group,Band,Percent
Cartagena,"Up to $1,000",7.28368233447147e-4
Cartagena,$1K-2K,0.0073958721512479945
Cartagena,$2K-5K,0.076854699067619
Cartagena,$5K-7.5K,0.09481831438301032
Cartagena,$7.5K-10K,0.09697467018310413
Cartagena,$10K-20K,0.2975634922036881
Cartagena,$20K-35K,0.21871851462261555
Cartagena,$35K-70K,0.15180702761479106
Cartagena,$70K-100K,0.03229428024682778
Cartagena,$100K-150K,0.015789776602183166
Cartagena,$150K-200K,0.0043213595652308034
Cartagena,$200K-$250K,0.0015076015638699509
Cartagena,Over $250K,0.001226023562365018
Benchmark,"Up to $1,000",1.0562718989128765e-4
Benchmark,$1K-2K,0.002867384903035922
Benchmark,$2K-5K,0.061108844387014076
Benchmark,$5K-7.5K,0.08090577731540094
Benchmark,$7.5K-10K,0.09579915486382184
Benchmark,$10K-20K,0.33260527797251577
Benchmark,$20K-35K,0.22268581900835704
Benchmark,$35K-70K,0.15304200675324958
Benchmark,$70K-100K,0.025423446620953624
Benchmark,$100K-150K,0.009803383229180021
Benchmark,$150K-200K,0.002012688647010176
Benchmark,$200K-$250K,5.503679032121685e-4
Benchmark,Over $250K,3.0723674739865464e-4
