Group,Location,Country,Year,Population,Source,Method
Cartagena,Cartagena,Colombia,2000,999576.9,Oxford,Oxford
Cartagena,Cartagena,Colombia,2001,1012694,Oxford,Oxford
Cartagena,Cartagena,Colombia,2002,1025077,Oxford,Oxford
Cartagena,Cartagena,Colombia,2003,1036816,Oxford,Oxford
Cartagena,Cartagena,Colombia,2004,1048314.0000000001,Oxford,Oxford
Cartagena,Cartagena,Colombia,2005,1059620,Oxford,Oxford
Cartagena,Cartagena,Colombia,2006,1074557,Oxford,Oxford
Cartagena,Cartagena,Colombia,2007,1088791,Oxford,Oxford
Cartagena,Cartagena,Colombia,2008,1102244,Oxford,Oxford
Cartagena,Cartagena,Colombia,2009,1114637,Oxford,Oxford
Cartagena,Cartagena,Colombia,2010,1125874,Oxford,Oxford
Cartagena,Cartagena,Colombia,2011,1135916,Oxford,Oxford
Cartagena,Cartagena,Colombia,2012,1145201,Oxford,Oxford
Cartagena,Cartagena,Colombia,2013,1154591,Oxford,Oxford
Cartagena,Cartagena,Colombia,2014,1164916,Oxford,Oxford
Cartagena,Cartagena,Colombia,2015,1176843,Oxford,Oxford
Cartagena,Cartagena,Colombia,2016,1191289,Oxford,Oxford
Cartagena,Cartagena,Colombia,2017,1207904,Oxford,Oxford
Cartagena,Cartagena,Colombia,2018,1223368,Oxford,Oxford
Cartagena,Cartagena,Colombia,2019,1238787,Oxford,Oxford
Cartagena,Cartagena,Colombia,2020,1254128,Oxford,Oxford
Cartagena,Cartagena,Colombia,2021,1259382,Oxford,Oxford
